1,2,3,4
0,0,0,0
0.011379844,0.012644775,0.032262981,0.025934804
0.010850787,0.011970985,0.028468983,0.02271188
0.010757872,0.011733205,0.027206904,0.022521482
0.011120234,0.011959682,0.029293584,0.025810506
0.011964016,0.012671615,0.035979913,0.034288352
0.013376134,0.013937569,0.050996513,0.054246152
0.015575748,0.015938784,0.083100653,0.097222087
0.019067517,0.019095952,0.117215269,0.116358101
0.025081156,0.024412882,0.122967754,0.117926615
0.037145229,0.034656142,0.124285567,0.118385978
0.067763095,0.059631186,0.124822606,0.118576787
0.123630874,0.127969111,0.125074146,0.11866827
0.128794912,0.152219486,0.125191552,0.118713432
0.129199122,0.153019395,0.12523355,0.118733179
0.129336335,0.153251823,0.12522717,0.118737066
0.129396144,0.153344518,0.125186148,0.118729911
0.129424174,0.153383642,0.125117627,0.118714296
0.129436062,0.153396211,0.125025747,0.118691645
0.129438361,0.153393038,0.124912448,0.118662729
0.129434185,0.153379083,0.124778747,0.118627928
0.129425137,0.153356772,0.124624799,0.118587366
0.129412073,0.153327367,0.124450229,0.11854099
0.129395443,0.153291444,0.124254393,0.118488621
0.129375458,0.153249218,0.124036117,0.118429975
0.129352179,0.153200663,0.123794274,0.118364682
0.129325563,0.153145559,0.123527192,0.118292297
0.129295493,0.153083592,0.123233246,0.118212302
0.129261789,0.15301431,0.122910505,0.118124112
0.129224222,0.152937185,0.12255683,0.118027074
0.129182517,0.152851612,0.122170109,0.117920464
0.129136357,0.152756871,0.121747705,0.117803489
0.12908538,0.15265221,0.121287305,0.11767528
0.129029183,0.152536739,0.120785928,0.117534893
0.128967321,0.15240951,0.120240838,0.117381301
0.1288993,0.152269493,0.119648987,0.117213395
0.128824579,0.152115515,0.119007131,0.117029973
0.128742567,0.151946375,0.118312269,0.116829744
0.128652618,0.151760685,0.117560699,0.116611317
0.128554027,0.151556987,0.116749437,0.1163732
0.128446028,0.151333716,0.115874647,0.116113793
0.12832779,0.151089107,0.114933079,0.115831392
0.128198408,0.15082138,0.113921261,0.115524175
0.128056906,0.150528482,0.112835623,0.115190207
0.127902223,0.150208291,0.111673305,0.11482744
0.127733217,0.149858547,0.110430607,0.114433701
0.127548651,0.149476721,0.109105242,0.114006708
0.127347196,0.149060308,0.107693956,0.113544064
0.127127417,0.148606425,0.106194677,0.113043256
0.126887776,0.148112154,0.10460531,0.112501677
0.126626622,0.14757441,0.102923891,0.111916618
0.126342186,0.146989806,0.101149772,0.111285287
0.126032578,0.146355048,0.099281318,0.110604818
0.125695783,0.145666383,0.097318965,0.109872306
0.125329659,0.14492012,0.095262062,0.109084788
0.124931929,0.144112439,0.093111397,0.108239315
0.124500186,0.143239198,0.090867731,0.107332947
0.124031891,0.142296582,0.088531727,0.106362782
0.123524373,0.141280244,0.086105327,0.105326011
0.122974838,0.140186161,0.083588822,0.104219934
0.122380362,0.139010273,0.080984243,0.103042
0.12173792,0.137748361,0.07829158,0.101789838
0.121044379,0.136396867,0.075511428,0.100461322
0.120296519,0.134951783,0.072643239,0.099054566
0.119491055,0.133409776,0.069685007,0.097568007
0.118624657,0.131767819,0.066634553,0.096000365
0.11769396,0.130022923,0.063486566,0.09435067
0.116695628,0.128173293,0.0602356,0.092618399
0.115626352,0.126216746,0.056872659,0.090803244
